history_key,state,next_word
stairBBYBBdynelBYBBBbaggyGGGGG,GGGGG,OKAY
stairBBYBBdynelBBGBB,N/A,banjo
stairBBYBBdynelBBGBBbanjoGGGGG,GGGGG,OKAY
stairBBYBBdynelYYBBB,N/A,caddy
stairBBYBBdynelYYBBBcaddyGGGGG,GGGGG,OKAY
stairBBYBBdynelBBYYB,N/A,began
stairBBYBBdynelBBYYBbeganGGGGG,GGGGG,OKAY
stairBBYBBdynelBGBBY,N/A,bylaw
stairBBYBBdynelBGBBYbylawGGGGG,GGGGG,OKAY
stairBBYBBdynelBBBBB,N/A,gamma
stairBBYBBdynelBBBBBgammaGGGGG,GGGGG,OKAY
stairBBYBBdynelBBBGB,N/A,cameo
stairBBYBBdynelBBBGBcameoGGGGG,GGGGG,OKAY
stairBBYBBdynelYYGBB,N/A,candy
stairBBYBBdynelYYGBBcandyGGGGG,GGGGG,OKAY
stairBBYBBdynelBBGYB,N/A,canoe
stairBBYBBdynelBBGYBcanoeGGGGG,GGGGG,OKAY
stairBBYBBdynelGYBBB,N/A,daddy
stairBBYBBdynelGYBBBdaddyGGGGG,GGGGG,OKAY
stairBBYBBdynelGYBBY,N/A,dally
stairBBYBBdynelGYBBYdallyGGGGG,GGGGG,OKAY
stairBBYBBdynelGBGYB,N/A,dance
stairBBYBBdynelGBGYBdanceGGGGG,GGGGG,OKAY
stairBBYBBdynelGYGBB,N/A,dandy
stairBBYBBdynelGYGBBdandyGGGGG,GGGGG,OKAY
stairBBYBBdynelGBBYG,N/A,decal
stairBBYBBdynelGBBYGdecalGGGGG,GGGGG,OKAY
stairBBYBBdynelGYBYB,N/A,decay
stairBBYBBdynelGYBYBdecayGGGGG,GGGGG,OKAY
stairBBYBBdynelGYBYY,N/A,delay
stairBBYBBdynelGYBYYdelayGGGGG,GGGGG,OKAY
stairBBYBBdynelGBBBB,N/A,dogma
stairBBYBBdynelGBBBBdogmaGGGGG,GGGGG,OKAY
stairBBYBBdynelBBBYG,N/A,fecal
stairBBYBBdynelBBBYGfecalGGGGG,GGGGG,OKAY
stairBBYBBdynelYBGBB,N/A,gonad
stairBBYBBdynelYBGBBgonadGGGGG,GGGGG,OKAY
stairBBYBBdynelBBYGB,N/A,haven
stairBBYBBdynelBBYGBhavenGGGGG,GGGGG,OKAY
stairBBYBBdynelBGYYB,N/A,hyena
stairBBYBBdynelBGYYBhyenaGGGGG,GGGGG,OKAY
stairBBYBBdynelYBYGY,N/A,laden
stairBBYBBdynelYBYGYladenGGGGG,GGGGG,OKAY
stairBBYBBdynelYBBYY,N/A,ladle
stairBBYBBdynelYBBYYladleGGGGG,GGGGG,OKAY
stairBBYBBdynelBBGYY,N/A,lance
stairBBYBBdynelBBGYYlanceGGGGG,GGGGG,OKAY
stairBBYBBdynelBYGBY,N/A,lanky
stairBBYBBdynelBYGBYlankyGGGGG,GGGGG,OKAY
