current_progress,state,next_word
aesirBBBBBbludyBYYBBagoneBBBYB,BBBYB,lunch
aesirBBBBBbludyBYYBBagoneBBBYBlunchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYYBBagoneBYBBB,BYBBB,gulch
aesirBBBBBbludyBYYBBagoneBYBBBgulchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYYBBagoneBYYBB,BYYBB,mogul
aesirBBBBBbludyBYYBBagoneBYYBBmogulGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYYBBagoneBYGBB,BYGBB,ghoul
aesirBBBBBbludyBYYBBagoneBYGBBghoulGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYYBG,BYYBG,galop
aesirBBBBBbludyBYYBGgalopBBYBB,BBYBB,lucky
aesirBBBBBbludyBYYBGgalopBBYBBluckyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYYBGgalopBBYBY,BBYBY,lumpy
aesirBBBBBbludyBYYBGgalopBBYBYlumpyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYYBGgalopBBGBB,BBGBB,fully
aesirBBBBBbludyBYYBGgalopBBGBBfullyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYYBGgalopBBGBY,BBGBY,pulpy
aesirBBBBBbludyBYYBGgalopBBGBYpulpyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYYBGgalopGBGBB,GBGBB,gully
aesirBBBBBbludyBYYBGgalopGBGBBgullyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYYYG,BYYYG,dully
aesirBBBBBbludyBYYYGdullyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYGBB,BYGBB,moult
aesirBBBBBbludyBYGBBmoultGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYGYB,BYGYB,abaca
aesirBBBBBbludyBYGYBabacaBBBBB,BBBBB,would
aesirBBBBBbludyBYGYBabacaBBBBBwouldGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYGYBabacaBBBYB,BBBYB,could
aesirBBBBBbludyBYGYBabacaBBBYBcouldGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGBBB,BGBBB,cahow
aesirBBBBBbludyBGBBBcahowBBBYY,BBBYY,flown
aesirBBBBBbludyBGBBBcahowBBBYYflownGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGBBBcahowBBBGB,BBBGB,gloom
aesirBBBBBbludyBGBBBcahowBBBGBgloomGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGBBBcahowYBBYB,YBBYB,flock
aesirBBBBBbludyBGBBBcahowYBBYBflockGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGBBBcahowGBBYB,GBBYB,clock
aesirBBBBBbludyBGBBBcahowGBBYBclockGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGBBBcahowGBBYY,GBBYY,clown
aesirBBBBBbludyBGBBBcahowGBBYYclownGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGBBBcahowGBYYB,GBYYB,cloth
aesirBBBBBbludyBGBBBcahowGBYYBclothGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGBBY,BGBBY,glyph
aesirBBBBBbludyBGBBYglyphGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGBYB,BGBYB,flood
aesirBBBBBbludyBGBYBfloodGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGYBB,BGYBB,abaca
aesirBBBBBbludyBGYBBabacaBBBBB,BBBBB,flout
aesirBBBBBbludyBGYBBabacaBBBBBfloutGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGYBBabacaBBBYB,BBBYB,clout
aesirBBBBBbludyBGYBBabacaBBBYBcloutGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGYYB,BGYYB,cloud
aesirBBBBBbludyBGYYBcloudGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGGBB,BGGBB,amuck
aesirBBBBBbludyBGGBBamuckBBGBB,BBGBB,aargh
aesirBBBBBbludyBGGBBamuckBBGBBaarghBBBBB,BBBBB,fluff
aesirBBBBBbludyBGGBBamuckBBGBBaarghBBBBBfluffGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGGBBamuckBBGBBaarghBBBYB,BBBYB,flung
aesirBBBBBbludyBGGBBamuckBBGBBaarghBBBYBflungGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGGBBamuckBBGBG,BBGBG,abaft
aesirBBBBBbludyBGGBBamuckBBGBGabaftBBBBB,BBBBB,plunk
aesirBBBBBbludyBGGBBamuckBBGBGabaftBBBBBplunkGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGGBBamuckBBGBGabaftBBBYB,BBBYB,flunk
aesirBBBBBbludyBGGBBamuckBBGBGabaftBBBYBflunkGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGGBBamuckBBGYB,BBGYB,clung
aesirBBBBBbludyBGGBBamuckBBGYBclungGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGGBBamuckBBGGG,BBGGG,abamp
aesirBBBBBbludyBGGBBamuckBBGGGabampBBBBB,BBBBB,cluck
aesirBBBBBbludyBGGBBamuckBBGGGabampBBBBBcluckGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGGBBamuckBBGGGabampBBBBY,BBBBY,pluck
aesirBBBBBbludyBGGBBamuckBBGGGabampBBBBYpluckGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGGBBamuckBYGBB,BYGBB,plump
aesirBBBBBbludyBGGBBamuckBYGBBplumpGGGGG,GGGGG,OKAY
aesirBBBBBbludyBGGBBamuckBYGYB,BYGYB,clump
aesirBBBBBbludyBGGBBamuckBYGYBclumpGGGGG,GGGGG,OKAY
aesirBBBBBbludyYBBBG,YBBBG,hobby
aesirBBBBBbludyYBBBGhobbyGGGGG,GGGGG,OKAY
aesirBBBBBbludyYBYBB,YBYBB,aargh
aesirBBBBBbludyYBYBBaarghBBBBB,BBBBB,jumbo
aesirBBBBBbludyYBYBBaarghBBBBBjumboGGGGG,GGGGG,OKAY
aesirBBBBBbludyYBYBBaarghBBBYB,BBBYB,gumbo
aesirBBBBBbludyYBYBBaarghBBBYBgumboGGGGG,GGGGG,OKAY
aesirBBBBBbludyYBGBB,YBGBB,thumb
aesirBBBBBbludyYBGBBthumbGGGGG,GGGGG,OKAY
aesirBBBBBbludyYBGYB,YBGYB,doubt
